# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.11.0
# schema_version: 1.0
# benchmark_id: af6bb4d7dfde
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,phase,stage,worker,Description
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,0,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,67722.4602,27164.0000,154425.0000,28391.6119,27434.4100,33748.0000,36914.4000,47137.0000,60287.5000,76368.0000,118706.0000,118706.0000,153311.4900,,,,1,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,10,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,11,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,12,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,13,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,14,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,15,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,9757.0478,3278.0000,9796.0000,502.8686,9796.0000,9796.0000,9796.0000,9796.0000,9796.0000,9796.0000,9796.0000,9796.0000,9796.0000,,,,16,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,17,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,385123.1554,90240.0000,386896.0000,22887.2343,386896.0000,386896.0000,386896.0000,386896.0000,386896.0000,386896.0000,386896.0000,386896.0000,386896.0000,,,,18,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,72470.4422,35251.0000,234516.0000,15842.1044,38472.6500,51852.0000,64482.0000,72527.0000,72527.0000,72527.0000,77311.0000,77311.0000,132175.7900,,,,19,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,3278.0000,3278.0000,3278.0000,0.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,3278.0000,,,,2,Worker mean task poll time (nanoseconds)
localhost:8000,gauge,dynamo_tokio_worker_mean_poll_time_ns,nanoseconds,67626.1036,17772.0000,135925.0000,31333.5981,25279.2200,32220.0000,32220.0000,43368.0000,55475.0000,102918.7500,110884.0000,129491.0000,129491.0000,,,,20,Worker mean task poll time (nanoseconds)
